2025-05-13 16:41:22.315 [http-nio-8081-exec-1] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 3, 相似度: 0.9399621234847323
2025-05-13 16:41:22.315 [http-nio-8081-exec-1] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.9451279394286097
2025-05-13 16:41:22.315 [http-nio-8081-exec-1] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.8879612698647794
2025-05-13 16:41:22.315 [http-nio-8081-exec-1] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.9519943249747838
2025-05-13 16:41:22.315 [http-nio-8081-exec-1] INFO  c.e.a.c.FaceRecognitionController - 检测到多个匹配用户，去重前: 7个，去重后: 3个
2025-05-13 16:42:08.301 [http-nio-8081-exec-3] INFO  c.e.a.service.impl.UserServiceImpl - 尝试注册用户: 5
2025-05-13 16:42:08.971 [http-nio-8081-exec-3] INFO  c.e.a.service.impl.UserServiceImpl - 用户 5 注册成功，学号: S25999454
2025-05-13 16:42:11.991 [http-nio-8081-exec-4] INFO  c.e.auth.controller.ExamController - 学生获取考试列表, 学生ID: 6, 用户名: 5, token中提取的ID: 6, 状态: null, 页码: 0, 大小: 1000
2025-05-13 16:42:12.038 [http-nio-8081-exec-4] INFO  c.e.auth.controller.ExamController - 学生关联的考试数量: 0
2025-05-13 16:42:12.038 [http-nio-8081-exec-4] WARN  c.e.auth.controller.ExamController - 学生没有关联任何考试, 学生ID: 6
2025-05-13 16:42:12.154 [http-nio-8081-exec-5] INFO  c.e.a.s.impl.NotificationServiceImpl - 获取用户(ID: 6)收到的通知
2025-05-13 16:42:12.368 [http-nio-8081-exec-8] INFO  c.e.auth.config.WebSocketConfig - 收到STOMP CONNECT命令
2025-05-13 16:42:12.368 [http-nio-8081-exec-8] INFO  c.e.auth.config.WebSocketConfig - 从WebSocket连接中提取到JWT Token: eyJhbGciOi...
2025-05-13 16:42:12.369 [http-nio-8081-exec-8] INFO  c.e.auth.config.WebSocketConfig - 从JWT Token提取的用户ID: 6
2025-05-13 16:42:12.369 [http-nio-8081-exec-8] INFO  c.e.auth.config.WebSocketConfig - WebSocket连接成功设置用户ID为Principal: 6
2025-05-13 16:42:17.983 [http-nio-8081-exec-4] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 提取到的人脸特征大小: 10000 bytes
2025-05-13 16:42:18.135 [http-nio-8081-exec-4] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 提取到的人脸图像大小: 10407 bytes
2025-05-13 16:42:18.293 [http-nio-8081-exec-4] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 用户 6 的 primary 类型人脸特征注册成功
2025-05-13 16:42:28.661 [http-nio-8081-exec-9] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 开始人脸比对，已注册用户数量: 8
2025-05-13 16:42:28.662 [http-nio-8081-exec-9] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.9226849745276765
2025-05-13 16:42:28.662 [http-nio-8081-exec-9] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 2, 相似度: 0.8808849927439397
2025-05-13 16:42:28.662 [http-nio-8081-exec-9] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.9438659407919947
2025-05-13 16:42:28.662 [http-nio-8081-exec-9] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 3, 相似度: 0.9449858106824913
2025-05-13 16:42:28.662 [http-nio-8081-exec-9] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.939318530375506
2025-05-13 16:42:28.662 [http-nio-8081-exec-9] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.8881839217507085
2025-05-13 16:42:28.662 [http-nio-8081-exec-9] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.9521384920270822
2025-05-13 16:42:28.662 [http-nio-8081-exec-9] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 6, 相似度: 0.9931163313658915
2025-05-13 16:42:28.662 [http-nio-8081-exec-9] INFO  c.e.a.c.FaceRecognitionController - 检测到多个匹配用户，去重前: 8个，去重后: 4个
2025-05-13 16:48:07.172 [http-nio-8081-exec-7] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 开始人脸比对，已注册用户数量: 8
2025-05-13 16:48:07.172 [http-nio-8081-exec-7] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.8947912859374559
2025-05-13 16:48:07.172 [http-nio-8081-exec-7] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 2, 相似度: 0.8497989122342652
2025-05-13 16:48:07.172 [http-nio-8081-exec-7] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.9127937613341358
2025-05-13 16:48:07.172 [http-nio-8081-exec-7] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 3, 相似度: 0.9151323875226883
2025-05-13 16:48:07.172 [http-nio-8081-exec-7] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.9047299944786592
2025-05-13 16:48:07.172 [http-nio-8081-exec-7] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.8883556406830885
2025-05-13 16:48:07.172 [http-nio-8081-exec-7] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 4, 相似度: 0.9160855619856376
2025-05-13 16:48:07.172 [http-nio-8081-exec-7] INFO  c.e.a.s.i.FaceRecognitionServiceImpl - 人脸匹配成功，用户ID: 6, 相似度: 0.9582297224120075
2025-05-13 16:48:07.172 [http-nio-8081-exec-7] INFO  c.e.a.c.FaceRecognitionController - 检测到多个匹配用户，去重前: 8个，去重后: 4个
2025-05-13 16:50:40.758 [http-nio-8081-exec-10] INFO  c.e.auth.controller.ExamController - 学生获取考试列表, 学生ID: 6, 用户名: 5, token中提取的ID: 6, 状态: null, 页码: 0, 大小: 1000
